"01/01/2024";"SPF économie - Statbel"
"Saint-Lambert (Q)";"6 462,1 habitant(s)/km²"
"Amercœur (Q)";"10 424,1 habitant(s)/km²"
"Angleur (Q)";"3 321,8 habitant(s)/km²"
"Belleflamme (Q)";"4 898,4 habitant(s)/km²"
"Bois-de-Breux (Q)";"2 639,3 habitant(s)/km²"
"Bressoux Gare (Q)";"5 309,1 habitant(s)/km²"
"Bressoux Quai (Q)";"8 523,5 habitant(s)/km²"
"Burenville (Q)";"4 656,9 habitant(s)/km²"
"Campine (Q)";"8 481,8 habitant(s)/km²"
"Cathédrale Saint-Paul (Q)";"11 375,0 habitant(s)/km²"
"Chênée (Q)";"2 778,9 habitant(s)/km²"
"Chênée Gare (Q)";"2 513,1 habitant(s)/km²"
"Chênée-Thiers (Q)";"4 104,0 habitant(s)/km²"
"Cité Demoitelle (Q)";"6 003,7 habitant(s)/km²"
"Cointe Est (Q)";"2 948,8 habitant(s)/km²"
"Cointe Ouest (Q)";"3 310,6 habitant(s)/km²"
"Cornillon (Q)";"5 776,7 habitant(s)/km²"
"Cornillon Bas (Q)";"6 567,7 habitant(s)/km²"
"Côte d'Or (Q)";"2 523,5 habitant(s)/km²"
"Dehin-Hesbaye (Q)";"6 935,1 habitant(s)/km²"
"Droixhe (Q)";"909,3 habitant(s)/km²"
"Évêché (Q)";"12 588,2 habitant(s)/km²"
"Fayembois Ouest (Q)";"1 287,1 habitant(s)/km²"
"Féronstrée (Q)";"4 840,6 habitant(s)/km²"
"Fétinne (Q)";"6 914,3 habitant(s)/km²"
"Fond des Tawes (Q)";"1 925,4 habitant(s)/km²"
"Fragnée (Q)";"6 845,1 habitant(s)/km²"
"Garde-Dieu (Q)";"1 210,3 habitant(s)/km²"
"Glain Est (Q)";"3 511,5 habitant(s)/km²"
"Glain Ouest (Q)";"2 034,0 habitant(s)/km²"
"Grivegnée (Q)";"4 674,2 habitant(s)/km²"
"Guillemins (Q)";"6 519,0 habitant(s)/km²"
"Haut-Pré (Q)";"1 948,5 habitant(s)/km²"
"Jardin botanique (Q)";"6 670,0 habitant(s)/km²"
"Jean de Wilde (Q)";"5 297,1 habitant(s)/km²"
"Jonfosse (Q)";"9 577,4 habitant(s)/km²"
"Jupille-sur-Meuse Est (Q)";"1 650,6 habitant(s)/km²"
"Jupille-sur-Meuse Ouest (Q)";"3 282,8 habitant(s)/km²"
"Kinkempois (Q)";"1 646,3 habitant(s)/km²"
"La Bonne Femme (Q)";"6 715,4 habitant(s)/km²"
"La Boverie (Q)";"5 504,7 habitant(s)/km²"
"La Tonne (Q)";"1 013,1 habitant(s)/km²"
"Laveu Est (Q)";"5 419,2 habitant(s)/km²"
"Laveu Nord (Q)";"6 666,1 habitant(s)/km²"
"Laveu Ouest (Q)";"2 859,5 habitant(s)/km²"
"Le Carré (Q)";"6 710,0 habitant(s)/km²"
"Les Piétresses (Q)";"1 296,2 habitant(s)/km²"
"Les Vennes (Q)";"4 584,8 habitant(s)/km²"
"Longdoz (Q)";"7 683,9 habitant(s)/km²"
"Luxembourg (Q)";"11 183,3 habitant(s)/km²"
"Malvaux (Q)";"2 152,3 habitant(s)/km²"
"Molinvaux (Q)";"3 689,8 habitant(s)/km²"
"Outremeuse Nord (Q)";"6 747,8 habitant(s)/km²"
"Outremeuse Sud (Q)";"13 554,3 habitant(s)/km²"
"Parc d'Avroy (Q)";"5 804,7 habitant(s)/km²"
"Parc de Cointe (Q)";"1 834,9 habitant(s)/km²"
"Péville (Q)";"5 178,9 habitant(s)/km²"
"Pierreuse-Sainte-Marguerite (Q)";"7 000,0 habitant(s)/km²"
"Rabosée (Q)";"913,7 habitant(s)/km²"
"Robermont (Q)";"1 283,9 habitant(s)/km²"
"Rocourt Nord-Est (Q)";"1 801,5 habitant(s)/km²"
"Rocourt Nord-Ouest (Q)";"2 105,7 habitant(s)/km²"
"Rocourt Sud (Q)";"1 334,3 habitant(s)/km²"
"Sainte-Walburge (Q)";"3 364,4 habitant(s)/km²"
"Saint-Gilles (Q)";"4 142,9 habitant(s)/km²"
"Saint-Lambert (Q)";"6 462,1 habitant(s)/km²"
"Saint-Laurent (Q)";"7 202,9 habitant(s)/km²"
"Saint-Léonard Centre (Q)";"7 662,9 habitant(s)/km²"
"Saint-Léonard Est (Q)";"1 981,0 habitant(s)/km²"
"Saint-Léonard Ouest (Q)";"9 667,7 habitant(s)/km²"
"Sart-Tilman (Q)";"256,1 habitant(s)/km²"
"Sclessin (Q)";"1 320,6 habitant(s)/km²"
"Seeliger (Q)";"5 233,3 habitant(s)/km²"
"Sous les Vignes (Q)";"2 372,1 habitant(s)/km²"
"Terrasses (Q)";"6 025,0 habitant(s)/km²"
"Thier-à-Liège (Q)";"1 516,9 habitant(s)/km²"
"Tribouillet (Q)";"4 423,5 habitant(s)/km²"
"Val-Benoît (Q)";"1 867,5 habitant(s)/km²"
"Wandre Est (Q)";"3 593,1 habitant(s)/km²"
"Wandre Ouest (Q)";"1 014,5 habitant(s)/km²"
"Xhovémont (Q)";"3 141,2 habitant(s)/km²"
